"state","puma22","cd118","stab","PUMA22name","pop20","afact"
"06","01311","08","CA","Contra Costa County (West)--Concord (West), Martinez & Pleasant Hill Cities",10373,0.0845 
"06","01311","10","CA","Contra Costa County (West)--Concord (West), Martinez & Pleasant Hill Cities",112328,0.9155 
"06","01312","08","CA","Contra Costa County (West)--Walnut Creek (West), Lafayette & Orinda Cities",7,0.0001 
"06","01312","10","CA","Contra Costa County (West)--Walnut Creek (West), Lafayette & Orinda Cities",103068,0.9999 
"06","01313","10","CA","Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities",177708,1 
"06","01314","08","CA","Contra Costa County (North)--Pittsburg & Concord (North) Cities",101354,0.9884 
"06","01314","10","CA","Contra Costa County (North)--Pittsburg & Concord (North) Cities",1189,0.0116 
"06","01500","01","CA","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",85506,0.6427 
"06","01500","02","CA","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",27743,0.2085 
"06","01500","03","CA","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",19790,0.1488 
"06","01700","03","CA","El Dorado County--El Dorado Hills, South Lake Tahoe City & Placerville City",64177,0.3357 
"06","01700","05","CA","El Dorado County--El Dorado Hills, South Lake Tahoe City & Placerville City",127008,0.6643 
"06","01901","13","CA","Fresno County (West)--Selma, Kerman & Coalinga Cities",100022,0.6793 
"06","01901","21","CA","Fresno County (West)--Selma, Kerman & Coalinga Cities",47211,0.3207 
"06","01902","05","CA","Fresno County (North Central)--Fresno City (North)",117119,0.6132 
"06","01902","20","CA","Fresno County (North Central)--Fresno City (North)",14549,0.0762 
"06","01902","21","CA","Fresno County (North Central)--Fresno City (North)",59315,0.3106 
"06","01903","20","CA","Fresno County (Central)--Fresno City (East Central)",26662,0.2411 
"06","01903","21","CA","Fresno County (Central)--Fresno City (East Central)",83900,0.7589 
"06","01904","05","CA","Fresno County (Central)--Fresno City (Southwest)",370,0.0021 
"06","01904","13","CA","Fresno County (Central)--Fresno City (Southwest)",47,0.0003 
"06","01904","21","CA","Fresno County (Central)--Fresno City (Southwest)",179643,0.9977 
"06","01905","20","CA","Fresno County (Central)--Fresno City (Southeast)",591,0.0051 
"06","01905","21","CA","Fresno County (Central)--Fresno City (Southeast)",116006,0.9949 
"06","01906","20","CA","Fresno County (Central)--Clovis City",129784,1 
"06","01907","05","CA","Fresno County (East)--Sanger, Reedley & Parlier Cities",4844,0.0363 
"06","01907","20","CA","Fresno County (East)--Sanger, Reedley & Parlier Cities",28067,0.2103 
"06","01907","21","CA","Fresno County (East)--Sanger, Reedley & Parlier Cities",100524,0.7534 
"06","02300","02","CA","Humboldt County",136463,1 
"06","02500","25","CA","Imperial County--El Centro City",179702,1 
"06","02903","20","CA","Kern County (Central)--Bakersfield City (Northeast)",20798,0.1236 
"06","02903","22","CA","Kern County (Central)--Bakersfield City (Northeast)",147527,0.8764 
"06","02904","22","CA","Kern County (Central)--Bakersfield City (Southeast)",113912,1 
"06","02905","20","CA","Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",148010,0.7682 
"06","02905","22","CA","Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",25360,0.1316 
"06","02905","23","CA","Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",19301,0.1002 
"06","02906","20","CA","Kern County (West)--Delano, Wasco & Shafter Cities",30123,0.1918 
"06","02906","22","CA","Kern County (West)--Delano, Wasco & Shafter Cities",126962,0.8082 
"06","02907","20","CA","Kern County (Central)--Bakersfield City (Northwest) & Rosedale",107020,1 
"06","02908","20","CA","Kern County (Central)--Bakersfield City (Southwest)",82188,0.4828 
"06","02908","22","CA","Kern County (Central)--Bakersfield City (Southwest)",88034,0.5172 
"06","03100","20","CA","Kings County--Hanford City",61891,0.4059 
"06","03100","22","CA","Kings County--Hanford City",90595,0.5941 
"06","03300","02","CA","Lake & Mendocino Counties",91601,0.5734 
"06","03300","04","CA","Lake & Mendocino Counties",68163,0.4266 
"06","03703","27","CA","Los Angeles County (North Central)--Lancaster City",180992,1 
"06","03704","27","CA","Los Angeles County (North Central)--Palmdale City",187217,1 
"06","03705","27","CA","Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch)",25243,0.1407 
"06","03705","32","CA","Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch)",154169,0.8593 
"06","03706","27","CA","Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar)",42418,0.2966 
"06","03706","29","CA","Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar)",75782,0.5299 
"06","03706","32","CA","Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar)",24824,0.1736 
"06","03707","29","CA","Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities",148835,0.9983 
"06","03707","30","CA","Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities",255,0.0017 
"06","03708","29","CA","Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)",74753,0.5453 
"06","03708","30","CA","Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)",62331,0.4547 
"06","03709","27","CA","Los Angeles County (Central)--San Gabriel Valley Region (North)",60,0.0005 
"06","03709","28","CA","Los Angeles County (Central)--San Gabriel Valley Region (North)",104103,0.9334 
"06","03709","29","CA","Los Angeles County (Central)--San Gabriel Valley Region (North)",441,0.004 
